misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
4880,1757160,405,3.65386693,1.3811979293823242,0.01704973177984357,0.8831916928291321
4900,1764360,405,3.86723226,1.3807766675949096,0.018147334828972815,3.03193918466568
4920,1771560,405,4.09367473,1.3807530283927918,0.008151420578360557,2.700105583667755
4940,1778760,405,3.7133433400000007,1.380562150478363,0.015814097970724104,2.993471395969391
4960,1785960,404,3.4692970900000004,1.3804154992103577,0.006908857077360153,1.8304227352142335
4980,1793160,404,3.8168596299999997,1.3805251717567444,0.006421220093034208,1.6193926274776458
5000,1800360,404,5.22509677,1.3803237080574036,0.016754881665110587,3.417309844493866
5020,1807560,404,3.5290472000000004,1.380141806602478,0.004534396156668663,1.9779959201812745
5040,1814760,404,5.02017781,1.3798200964927674,0.01833704551681876,1.4620142221450805
5060,1821960,404,2.97088051,1.3793965339660645,0.005823794007301331,3.781355392932892
5080,1829160,404,4.18817168,1.3794036626815795,0.009315106272697448,1.949248492717743
5100,1836360,404,3.7335400999999995,1.3793834686279296,0.014732917305082083,1.5962445497512818
5120,1843560,404,3.056811829999999,1.379096007347107,0.009383295476436616,1.4463025867938994
5140,1850760,404,3.11234733,1.3787677764892579,0.015271667414344848,1.3359746098518372
5160,1857960,404,4.18281975,1.3787376165390015,0.02018466331064701,2.2938777804374695
5180,1865160,404,4.50637518,1.3787237882614136,0.024082814110442996,1.707659089565277
5200,1872360,404,4.0502020299999995,1.3786005854606629,0.017085432447493075,1.5691531598567963
5220,1879560,404,2.803947,1.3783225536346435,0.018043577205389738,1.2112766623497009
5240,1886760,404,2.7416879300000003,1.378324270248413,0.019450725615024568,1.9290478229522705
5260,1893960,404,3.24132359,1.37811279296875,-0.0008814416825771332,2.304922115802765
5280,1901160,404,3.94627976,1.3779258131980896,-0.0018028488382697105,3.554712396860123
5300,1908360,404,3.4919444499999996,1.3776090621948243,0.017498092842288315,3.9593247175216675
5320,1915560,404,3.62249046,1.3774038314819337,0.01875770725309849,1.0758188545703888
5340,1922760,404,4.46729118,1.3772887587547302,0.017454261984676124,3.3051016688346864
5360,1929960,404,4.88757097,1.3774644494056703,0.033544910699129106,1.7804726362228394
5380,1937160,404,3.5705568299999997,1.377409863471985,0.023258108273148538,1.3132784962654114
5400,1944360,404,4.63528025,1.3773597478866577,0.021480522211641075,5.283454084396363
5420,1951560,404,4.395623070000001,1.3774141192436218,0.02399384006857872,1.4554228901863098
5440,1958760,404,3.6155166800000003,1.3769011855125428,0.014380820468068123,1.4915230095386505
5460,1965960,404,3.24069242,1.3768337607383727,0.007654068619012832,2.9358437240123747
5480,1973160,404,4.10455918,1.3769311428070068,0.012319667078554631,1.5773693203926087
5500,1980360,404,3.6126524899999994,1.3769389867782593,0.018531470373272897,2.1289775729179383
5520,1987560,404,5.11100562,1.376737654209137,0.014481332898139954,1.7232379972934724
5540,1994760,404,4.33725881,1.376716411113739,0.013366247247904538,3.9230597019195557
5560,2001960,404,3.6540842500000013,1.376397693157196,0.007604773715138435,1.1894810974597931
5580,2009160,404,2.7451326600000003,1.3757890343666077,0.007984394580125809,1.5108624517917633
5600,2016360,403,3.9691437,1.3753159761428833,0.00732746422290802,2.090005671977997
5620,2023560,403,3.865706569999999,1.375156319141388,0.008885488286614418,1.3586215913295745
5640,2030760,403,3.124061340000001,1.3749785423278809,0.01733729336410761,3.510991096496582
5660,2037960,403,3.7689111299999998,1.3747269988059998,0.012014202307909727,1.150352132320404
5680,2045160,403,3.4413806399999998,1.374485719203949,0.011949516087770461,1.4379765391349792
